epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.771,1.52706,1.79052,1.1038,0.94902,0.73502,0.91766,0.54416,1.34231,1.79504,0.9585,0.00065942,0.00065942,0.00065942
2,2287.78,1.32078,1.03048,1.00069,0.90416,0.92748,0.95328,0.53764,1.3701,0.97252,0.99552,0.0011948,0.0011948,0.0011948
3,3340.54,1.28238,0.88614,0.99268,0.96248,0.95787,0.9858,0.58597,1.33672,0.7933,0.99029,0.00159819,0.00159819,0.00159819
4,4057.14,1.26138,0.78576,0.98363,0.96869,0.96816,0.98834,0.61595,1.25701,0.76811,0.95781,0.001406,0.001406,0.001406
5,4654.88,1.20994,0.68568,0.96165,0.9515,0.9588,0.98624,0.62024,1.19492,0.67429,0.94796,0.001208,0.001208,0.001208
6,5875.95,1.1901,0.66342,0.95429,0.96793,0.96089,0.98737,0.6376,1.2158,0.63551,0.95391,0.00101,0.00101,0.00101
7,7008.66,1.16759,0.62677,0.94443,0.96722,0.97753,0.98877,0.6248,1.21378,0.60604,0.93603,0.000812,0.000812,0.000812
8,7873.61,1.14159,0.60351,0.93239,0.95193,0.97378,0.98953,0.6552,1.14109,0.64588,0.91727,0.000614,0.000614,0.000614
9,8432.98,1.13401,0.58848,0.92893,0.98845,0.97846,0.99052,0.67224,1.13707,0.55257,0.91543,0.000416,0.000416,0.000416
10,9043.7,1.09746,0.54576,0.92236,0.98873,0.98563,0.99309,0.67328,1.13681,0.52911,0.91243,0.000218,0.000218,0.000218
